label,ccode,region,pop,qu,de,ar,aq,lng,lat,arid,capacity,delivery
San_Pablo,PHL,2,70,3,3,3,1,121.325,14.067,1.621,4.23,2490
Rudong,CHN,2,52,2,3,2,1,111.412,21.596,1.623,1.94,1105
Qingyuan,CHN,2,282,3,2,2,1,113.058,23.639,1.623,2.83,5941
Mata,CHN,2,55,3,3,3,1,111.339,21.622,1.623,3.17,1105
Cagayan_de_Oro,PHL,2,210,2,4,3,1,124.683,8.458,1.625,1.98,731
Gaoleshan,CHN,2,107,3,3,3,1,109.012,29.684,1.626,2.59,894
Yangcheng,CHN,2,74,2,3,2,1,112.642,24.471,1.628,2.43,1099
Bukittinggi,IDN,2,96,3,3,3,1,100.392,-0.312,1.628,4,1243
Lianfeng,CHN,2,52,2,3,2,1,116.8,25.783,1.633,2.2,1786
Fangchenggang,CHN,2,180,3,3,3,1,108.367,21.763,1.635,4.62,1048
Jingdezhen,CHN,2,430,3,3,3,1,117.217,29.313,1.639,3.49,1373
Dexing,CHN,2,115,3,3,3,1,117.596,28.954,1.643,3.11,953
Bingxi,CHN,2,94,3,3,3,1,118.246,28.679,1.643,3.09,2132
Xiping,CHN,2,55,2,3,2,1,119.487,28.459,1.644,1.47,2657
Koje,KOR,2,116,2,1,1,1,128.647,34.904,1.645,2.45,24692
